"dz_2011","total","house","flat","caravan","shared"
"S01007300",561,295,266,0,0
"S01007301",560,535,25,0,0
"S01007302",730,670,60,0,0
"S01007303",843,741,60,42,0
"S01007304",569,547,13,9,0
"S01007305",678,659,17,2,0
"S01007306",553,532,21,0,0
"S01007307",765,701,53,11,0
"S01007308",711,689,17,5,0
"S01007309",601,561,28,12,0
"S01007310",756,744,11,1,0
"S01007311",744,575,169,0,0
"S01007312",754,707,46,1,0
"S01007313",871,769,44,58,0
"S01007314",639,625,6,8,0
"S01007315",604,512,92,0,0
"S01007316",842,511,329,2,0
"S01007317",707,625,52,30,0
"S01007318",628,543,85,0,0
"S01007319",632,418,214,0,0
"S01007320",858,826,22,6,4
"S01007321",618,567,46,5,0
"S01007322",759,474,285,0,0
"S01007323",579,374,205,0,0
"S01007324",294,284,7,3,0
"S01007325",757,729,24,4,0
"S01007326",1315,1214,101,0,0
"S01007327",663,580,81,2,0
"S01007328",568,511,56,1,0
"S01007329",658,637,16,5,0
"S01007330",924,894,29,1,0
"S01007331",1015,916,92,7,0
"S01007332",489,458,21,10,0
"S01007333",739,470,269,0,0
"S01007334",700,258,441,1,0
"S01007335",851,638,213,0,0
"S01007336",417,39,378,0,0
"S01007337",506,201,303,2,0
"S01007338",832,804,28,0,0
"S01007339",639,450,188,1,0
"S01007340",511,211,300,0,0
"S01007341",720,339,381,0,0
"S01007342",788,534,254,0,0
"S01007343",818,646,165,6,1
"S01007344",345,100,245,0,0
"S01007345",493,200,293,0,0
"S01007346",640,162,478,0,0
"S01007347",690,394,296,0,0
"S01007348",680,483,197,0,0
"S01007349",407,151,256,0,0
"S01007350",584,105,479,0,0
"S01007351",669,502,164,2,1
"S01007352",526,508,12,6,0
"S01007353",700,648,45,7,0
"S01007354",751,469,281,1,0
"S01007355",2007,1715,269,20,3
"S01007356",717,614,101,2,0
"S01007357",822,769,51,2,0
"S01007358",970,843,117,10,0
"S01007359",116,98,3,15,0
"S01007360",430,354,62,14,0
"S01007361",995,650,335,10,0
"S01007362",626,319,305,0,2
"S01007363",694,524,169,1,0
"S01007364",913,654,256,0,3
"S01007365",365,256,109,0,0
"S01007366",498,297,201,0,0
"S01007367",554,327,227,0,0
